dominant_topic,document_id,document_score
0,3852,0.0
0,3856,0.6627
4,3858,0.8879
1,3870,1.0
1,3875,0.7217
1,3878,0.7374
0,3883,0.6588
0,3886,0.5289
1,3891,1.0
0,3910,0.0
0,3913,0.3502
1,3916,0.0
4,3926,0.6616
4,3931,0.7842
3,3934,1.0
1,3938,0.5649
1,3941,0.4919
0,3943,0.6944
4,3947,1.0
0,3955,0.7832
4,3957,1.0
1,3964,0.0
4,3968,0.5951
0,3969,1.0
4,3971,0.3359
1,3977,0.4398
0,3984,0.5642
0,3985,1.0
1,3996,0.8322
2,4005,0.0
0,4012,1.0
1,4026,0.5915
1,4031,1.0
1,4035,1.0
2,4041,1.0
3,4042,1.0
4,4047,0.7471
0,4049,1.0
1,4052,0.7508
4,4057,0.572
0,4061,1.0
2,4067,1.0
4,4070,0.5626
1,4072,0.505
0,4073,0.6579
3,4077,0.9606
0,4086,1.0
0,4089,0.7596
0,4096,0.0
0,4101,0.0
2,4102,0.0
1,4107,1.0
0,4109,0.0
4,4128,0.8147
4,4129,0.3976
1,4131,0.0
1,4132,1.0
0,4135,1.0
1,4138,1.0
3,4140,0.871
2,4142,0.9049
1,4143,0.0
3,4147,0.8223
1,4150,0.5881
1,4155,0.6377
0,4157,1.0
0,4159,1.0
0,4164,0.5436
0,4169,0.5416
4,4172,0.8878
2,4175,1.0
2,4177,1.0
0,4179,0.0
1,4180,0.0
4,4190,1.0
2,4192,1.0
0,4197,1.0
0,4199,0.4433
1,4200,0.0
1,4203,1.0
1,4209,0.0
0,4214,1.0
4,4219,0.8242
4,4224,0.8937
2,4228,1.0
2,4229,0.0
0,4231,0.0
1,4237,0.5462
2,4239,0.5661
1,4241,1.0
4,4242,0.4832
1,4243,0.0
0,4248,0.6633
4,4251,0.5753
0,4256,1.0
1,4259,1.0
0,4261,0.8954
1,4262,1.0
2,4263,0.9077
4,4267,0.6307
0,4268,0.7889
4,4269,0.5142
0,4270,1.0
4,4271,0.0
1,4280,1.0
0,4281,1.0
4,4284,0.3414
0,4289,0.0
4,4290,1.0
0,4296,0.6227
2,4297,0.0
3,4298,0.6678
0,4299,0.0
2,4304,1.0
0,4305,0.0
0,4309,1.0
2,4311,0.5939
4,4312,0.6745
2,4320,0.6922
0,4322,0.5211
4,4323,0.4799
1,4326,1.0
